frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"107","Mar 27, 2025 02:33:18.048218000 India Standard Time","35.72.108.16","172.16.44.224","443","50013",,,,,
"108","Mar 27, 2025 02:33:18.048218000 India Standard Time","35.72.108.16","172.16.44.224","443","50013",,,,,
"109","Mar 27, 2025 02:33:18.048218000 India Standard Time","35.72.108.16","172.16.44.224","443","50013",,,,,
"110","Mar 27, 2025 02:33:18.048218000 India Standard Time","35.72.108.16","172.16.44.224","443","50013",,,,,
"111","Mar 27, 2025 02:33:18.048218000 India Standard Time","35.72.108.16","172.16.44.224","443","50012",,,,,
"112","Mar 27, 2025 02:33:18.048404000 India Standard Time","172.16.44.224","104.22.27.181","50002","443",,,,,
"113","Mar 27, 2025 02:33:18.048435000 India Standard Time","172.16.44.224","35.72.108.16","50013","443",,,,,
"114","Mar 27, 2025 02:33:18.048480000 India Standard Time","35.72.108.16","172.16.44.224","443","50012",,,,,
"115","Mar 27, 2025 02:33:18.048480000 India Standard Time","35.72.108.16","172.16.44.224","443","50012",,,,,
"116","Mar 27, 2025 02:33:18.048480000 India Standard Time","35.72.108.16","172.16.44.224","443","50012",,,,,
"117","Mar 27, 2025 02:33:18.048480000 India Standard Time","35.72.108.16","172.16.44.224","443","50010",,,,,
"118","Mar 27, 2025 02:33:18.048480000 India Standard Time","35.72.108.16","172.16.44.224","443","50011",,,,,
"119","Mar 27, 2025 02:33:18.048480000 India Standard Time","35.72.108.16","172.16.44.224","443","50011",,,,,
"120","Mar 27, 2025 02:33:18.048480000 India Standard Time","35.72.108.16","172.16.44.224","443","50010",,,,,
"121","Mar 27, 2025 02:33:18.048517000 India Standard Time","172.16.44.224","35.72.108.16","50012","443",,,,,
"122","Mar 27, 2025 02:33:18.058587000 India Standard Time","35.72.108.16","172.16.44.224","443","50012",,,,,
"123","Mar 27, 2025 02:33:18.058587000 India Standard Time","35.72.108.16","172.16.44.224","443","50013",,,,,
"124","Mar 27, 2025 02:33:18.059523000 India Standard Time","172.16.44.224","35.72.108.16","50013","443",,,,,
"125","Mar 27, 2025 02:33:18.059523000 India Standard Time","172.16.44.224","35.72.108.16","50012","443",,,,,
"126","Mar 27, 2025 02:33:18.061183000 India Standard Time","172.16.44.224","35.72.108.16","50013","443",,,,,
"127","Mar 27, 2025 02:33:18.061216000 India Standard Time","172.16.44.224","35.72.108.16","50013","443",,,,,
"128","Mar 27, 2025 02:33:18.062594000 India Standard Time","172.16.44.224","35.72.108.16","50012","443",,,,,
"129","Mar 27, 2025 02:33:18.062623000 India Standard Time","172.16.44.224","35.72.108.16","50012","443",,,,,
"130","Mar 27, 2025 02:33:18.072827000 India Standard Time","35.72.108.16","172.16.44.224","443","50013",,,,,
"131","Mar 27, 2025 02:33:18.072827000 India Standard Time","35.72.108.16","172.16.44.224","443","50013",,,,,
"132","Mar 27, 2025 02:33:18.072827000 India Standard Time","35.72.108.16","172.16.44.224","443","50012",,,,,
"133","Mar 27, 2025 02:33:18.072827000 India Standard Time","35.72.108.16","172.16.44.224","443","50012",,,,,
"134","Mar 27, 2025 02:33:18.072827000 India Standard Time","35.72.108.16","172.16.44.224","443","50013",,,,,
"135","Mar 27, 2025 02:33:18.072827000 India Standard Time","35.72.108.16","172.16.44.224","443","50012",,,,,
"136","Mar 27, 2025 02:33:18.137483000 India Standard Time","35.72.108.16","172.16.44.224","443","50008",,,,,
"137","Mar 27, 2025 02:33:18.137483000 India Standard Time","35.72.108.16","172.16.44.224","443","50009",,,,,
"138","Mar 27, 2025 02:33:18.151251000 India Standard Time","35.72.108.16","172.16.44.224","443","50010",,,,,
"139","Mar 27, 2025 02:33:18.151251000 India Standard Time","35.72.108.16","172.16.44.224","443","50011",,,,,
"140","Mar 27, 2025 02:33:18.161494000 India Standard Time",,,,,,,,,
"141","Mar 27, 2025 02:33:18.180162000 India Standard Time","172.16.44.224","35.72.108.16","50008","443",,,,,
"142","Mar 27, 2025 02:33:18.180198000 India Standard Time","172.16.44.224","35.72.108.16","50009","443",,,,,
"143","Mar 27, 2025 02:33:18.187615000 India Standard Time","35.72.108.16","172.16.44.224","443","50013",,,,,
"144","Mar 27, 2025 02:33:18.187615000 India Standard Time","35.72.108.16","172.16.44.224","443","50012",,,,,
"145","Mar 27, 2025 02:33:18.195279000 India Standard Time","172.16.44.224","35.72.108.16","50010","443",,,,,
"146","Mar 27, 2025 02:33:18.195348000 India Standard Time","172.16.44.224","35.72.108.16","50011","443",,,,,
"147","Mar 27, 2025 02:33:18.241670000 India Standard Time","172.16.44.224","35.72.108.16","50013","443",,,,,
"148","Mar 27, 2025 02:33:18.241670000 India Standard Time","172.16.44.224","35.72.108.16","50012","443",,,,,
"149","Mar 27, 2025 02:33:18.245750000 India Standard Time","35.72.108.16","172.16.44.224","443","50009",,,,,
"150","Mar 27, 2025 02:33:18.245750000 India Standard Time","35.72.108.16","172.16.44.224","443","50009",,,,,
"151","Mar 27, 2025 02:33:18.245750000 India Standard Time","35.72.108.16","172.16.44.224","443","50008",,,,,
"152","Mar 27, 2025 02:33:18.245750000 India Standard Time","35.72.108.16","172.16.44.224","443","50008",,,,,
"153","Mar 27, 2025 02:33:18.245796000 India Standard Time","172.16.44.224","35.72.108.16","50009","443",,,,,
